Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2013-01,Esercizi alberghieri,188732,88403
Arrivi,2013-01,Esercizi extralberghieri,21924,12323
Arrivi,2013-02,Esercizi alberghieri,173896,106651
Arrivi,2013-02,Esercizi extralberghieri,21545,15288
Arrivi,2013-03,Esercizi alberghieri,158386,102270
Arrivi,2013-03,Esercizi extralberghieri,22199,17044
Arrivi,2013-04,Esercizi alberghieri,45116,44470
Arrivi,2013-04,Esercizi extralberghieri,14476,9086
Arrivi,2013-05,Esercizi alberghieri,40436,87237
Arrivi,2013-05,Esercizi extralberghieri,13318,39781
Arrivi,2013-06,Esercizi alberghieri,111086,93646
Arrivi,2013-06,Esercizi extralberghieri,33012,39313
Arrivi,2013-07,Esercizi alberghieri,225400,124185
Arrivi,2013-07,Esercizi extralberghieri,77923,84416
Arrivi,2013-08,Esercizi alberghieri,329257,112690
Arrivi,2013-08,Esercizi extralberghieri,114607,76308
Arrivi,2013-09,Esercizi alberghieri,104723,121092
Arrivi,2013-09,Esercizi extralberghieri,29108,43715
Arrivi,2013-10,Esercizi alberghieri,42955,63992
Arrivi,2013-10,Esercizi extralberghieri,11668,11586
Arrivi,2013-11,Esercizi alberghieri,46560,10627
Arrivi,2013-11,Esercizi extralberghieri,10650,1531
Arrivi,2013-12,Esercizi alberghieri,203639,54736
Arrivi,2013-12,Esercizi extralberghieri,41428,8186
Presenze,2013-01,Esercizi alberghieri,788767,528589
Presenze,2013-01,Esercizi extralberghieri,132210,81678
Presenze,2013-02,Esercizi alberghieri,704745,652632
Presenze,2013-02,Esercizi extralberghieri,102998,100300
Presenze,2013-03,Esercizi alberghieri,610852,529443
Presenze,2013-03,Esercizi extralberghieri,101977,102871
Presenze,2013-04,Esercizi alberghieri,118543,174233
Presenze,2013-04,Esercizi extralberghieri,62950,41595
Presenze,2013-05,Esercizi alberghieri,91981,288925
Presenze,2013-05,Esercizi extralberghieri,59517,180565
Presenze,2013-06,Esercizi alberghieri,367175,325375
Presenze,2013-06,Esercizi extralberghieri,131592,187509
Presenze,2013-07,Esercizi alberghieri,1268305,482588
Presenze,2013-07,Esercizi extralberghieri,435787,510975
Presenze,2013-08,Esercizi alberghieri,1789024,433494
Presenze,2013-08,Esercizi extralberghieri,680474,469435
Presenze,2013-09,Esercizi alberghieri,431174,441034
Presenze,2013-09,Esercizi extralberghieri,125062,197161
Presenze,2013-10,Esercizi alberghieri,101531,229735
Presenze,2013-10,Esercizi extralberghieri,53693,53969
Presenze,2013-11,Esercizi alberghieri,94161,33237
Presenze,2013-11,Esercizi extralberghieri,48205,11078
Presenze,2013-12,Esercizi alberghieri,658212,264159
Presenze,2013-12,Esercizi extralberghieri,157385,45682
